Département,Code du Canton,Libellé du Canton,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimés,Binôme,Nuance,Voix,Duel
05,10,Guillestre,6932,3645,3287,246,93,2948,M. Guillaume DEJY,BC-UG,0,
05,09,Gap-4,6816,4352,2464,112,57,2295,Mme Evelyne COLONNA,BC-DVD,1114,
05,09,Gap-4,6816,4352,2464,112,57,2295,Mme Pimprenelle BUTZBACH,BC-UGE,602,
05,09,Gap-4,6816,4352,2464,112,57,2295,M. Pierre-Yves LOMBARD,BC-DVG,321,
05,09,Gap-4,6816,4352,2464,112,57,2295,Mme Bénédicte FEROTIN,BC-DVD,258,
05,14,Tallard,8345,4189,4156,176,104,3876,M. Jean-Baptiste AILLAUD,BC-DVD,2286,
05,14,Tallard,8345,4189,4156,176,104,3876,M. Rémy ODDOU,BC-DVG,1590,
05,15,Veynes,5634,2924,2710,82,63,2565,M. Jean-Marie BERNARD,BC-UCD,1112,
05,15,Veynes,5634,2924,2710,82,63,2565,Mme Sylvine GAUTHIER,BC-DVG,889,
05,15,Veynes,5634,2924,2710,82,63,2565,M. Georges ALLEMAND,BC-DIV,564,
05,13,Serres,6588,2997,3591,141,106,3344,Mme Françoise PINET,BC-DVD,1640,
05,13,Serres,6588,2997,3591,141,106,3344,Mme Anne-Marie GROS,BC-DVG,1103,
05,13,Serres,6588,2997,3591,141,106,3344,M. Eric CHAPON,BC-ECO,601,
05,12,Saint-Bonnet-en-Champsaur,9685,5150,4535,237,133,4165,Mme Béatrice ALLOSIA,BC-DVD,3027,
05,12,Saint-Bonnet-en-Champsaur,9685,5150,4535,237,133,4165,M. Patrice LE PARC,BC-FI,1138,
04,15,Valensole,7354,4223,3131,67,39,3025,Mme Michèle COTTRET,BC-LR,1140,
04,15,Valensole,7354,4223,3131,67,39,3025,Mme Martine RAVIER,BC-RN,789,
04,15,Valensole,7354,4223,3131,67,39,3025,M. Philippe BEC,BC-SOC,562,
04,15,Valensole,7354,4223,3131,67,39,3025,M. Patrick GARNON,BC-ECO,534,
04,14,Sisteron,9752,5809,3943,165,91,3687,M. Robert Henri Louis GAY,BC-LR,1691,
04,14,Sisteron,9752,5809,3943,165,91,3687,Mme Jocelyne FERAUD,BC-DVC,916,
04,14,Sisteron,9752,5809,3943,165,91,3687,Mme Florence CHEILAN,BC-UGE,855,
04,14,Sisteron,9752,5809,3943,165,91,3687,M. Jean-Bruno MERIC,BC-DVD,225,
04,13,Seyne,7343,3918,3425,169,94,3162,Mme Evelyne FAURE,BC-DVG,1650,
04,13,Seyne,7343,3918,3425,169,94,3162,Mme Patricia ROLLAND,BC-DVD,813,
04,13,Seyne,7343,3918,3425,169,94,3162,Mme Isabelle DALBAN,BC-FI,699,
04,12,Riez,7671,4275,3396,124,36,3236,Mme Eliane BARREILLE,BC-LR,936,
04,12,Riez,7671,4275,3396,124,36,3236,Mme Muriel DE VITA,BC-RN,817,
04,12,Riez,7671,4275,3396,124,36,3236,M. Arnold ACHARD,BC-UG,814,
04,12,Riez,7671,4275,3396,124,36,3236,M. Christophe DUBOIS,BC-DVG,669,
04,11,Reillanne,8805,4798,4007,137,96,3774,M. Alain CLAPIER,BC-COM,1448,
04,11,Reillanne,8805,4798,4007,137,96,3774,Mme Michèle MOUTTE,BC-DVG,1245,
04,11,Reillanne,8805,4798,4007,137,96,3774,M. Gerard BAUMEL,BC-LR,1081,
04,10,Oraison,10481,7165,3316,119,81,3116,Mme Marie-Claude BRUSAT,BC-DVC,1055,
04,10,Oraison,10481,7165,3316,119,81,3116,M. Gérard PAUL,BC-UG,938,
04,10,Oraison,10481,7165,3316,119,81,3116,M. Noël CHUISANO,BC-DSV,566,
04,10,Oraison,10481,7165,3316,119,81,3116,Mme Carole BOUCLIER,BC-DVG,279,
04,10,Oraison,10481,7165,3316,119,81,3116,M. Gilles CARTIER,BC-DVD,278,
04,09,Manosque-3,8487,5608,2879,122,56,2701,M. Jean-Claude CASTEL,BC-LR,1357,
04,09,Manosque-3,8487,5608,2879,122,56,2701,M. Sylvain MIRALLES,BC-COM,753,
04,09,Manosque-3,8487,5608,2879,122,56,2701,Mme Clotilde BERKI,BC-UCG,591,
04,08,Manosque-2,7489,4558,2931,88,74,2769,M. Camille GALTIER,BC-LR,1138,
04,08,Manosque-2,7489,4558,2931,88,74,2769,M. Lionel FANTOVA,BC-SOC,616,
04,08,Manosque-2,7489,4558,2931,88,74,2769,M. Laurent GUIDON,BC-UGE,547,
04,08,Manosque-2,7489,4558,2931,88,74,2769,M. Laurent RAYMONDO,BC-DSV,273,
04,08,Manosque-2,7489,4558,2931,88,74,2769,Mme Dominique ALUNNO,BC-DVD,195,
10,17,Vendeuvre-sur-Barse,16654,11063,5591,167,86,5338,M. Bertrand CHEVALIER,BC-UCD,2535,
10,17,Vendeuvre-sur-Barse,16654,11063,5591,167,86,5338,Mme Michèle AUBERT,BC-RN,1817,
10,17,Vendeuvre-sur-Barse,16654,11063,5591,167,86,5338,M. David MORIN,BC-UG,986,
10,16,Troyes-5,8761,6642,2119,44,23,2052,Mme Sybille BERTAIL,BC-UCD,1092,
10,16,Troyes-5,8761,6642,2119,44,23,2052,M. Mohamed Amine BEN MEHIDI,BC-UG,485,
10,16,Troyes-5,8761,6642,2119,44,23,2052,M. Jean-Marie BIARD,BC-RN,475,
10,15,Troyes-4,13467,9714,3753,105,69,3579,Mme Catherine BREGEAUT,BC-UCG,1838,
10,15,Troyes-4,13467,9714,3753,105,69,3579,M. Raphaël FONTAINE,BC-RN,966,
10,15,Troyes-4,13467,9714,3753,105,69,3579,Mme Virginie COUSIN,BC-UG,602,
10,15,Troyes-4,13467,9714,3753,105,69,3579,M. Bruno PELLERIN,BC-FI,173,
10,14,Troyes-3,10437,7670,2767,61,45,2661,M. Olivier GIRARDIN,BC-UG,1033,
10,14,Troyes-3,10437,7670,2767,61,45,2661,Mme Hania KOUIDER-SAHED,BC-UD,777,
10,14,Troyes-3,10437,7670,2767,61,45,2661,Mme Mireille CAZARD,BC-RN,648,
10,14,Troyes-3,10437,7670,2767,61,45,2661,Mme Peggy BRISSET,BC-UGE,133,
10,14,Troyes-3,10437,7670,2767,61,45,2661,Mme Sophie CRETOL,BC-FI,70,
10,12,Troyes-1,9321,6943,2378,64,17,2297,Mme Elisabeth PHILIPPON,BC-LR,1094,
10,12,Troyes-1,9321,6943,2378,64,17,2297,M. David BLANCHON,BC-UGE,679,
10,12,Troyes-1,9321,6943,2378,64,17,2297,M. Philippe ARBONA,BC-RN,524,
10,13,Troyes-2,13133,9639,3494,90,57,3347,M. Valéry DENIS,BC-DVD,1382,
10,13,Troyes-2,13133,9639,3494,90,57,3347,Mme Stéphanie CHAZELON,BC-UG,1017,
10,13,Troyes-2,13133,9639,3494,90,57,3347,M. Eric DONDON,BC-RN,839,
10,13,Troyes-2,13133,9639,3494,90,57,3347,M. Didier FREVILLE,BC-REM,109,
10,10,Saint-André-les-Vergers,16189,11529,4660,111,71,4478,M. Alain BALLAND,BC-UCD,2282,
10,10,Saint-André-les-Vergers,16189,11529,4660,111,71,4478,Mme Michèle BERTHIER,BC-RN,1151,
10,10,Saint-André-les-Vergers,16189,11529,4660,111,71,4478,Mme Caroline AUTIER,BC-UG,1045,
10,11,Saint-Lyé,11904,7921,3983,126,62,3795,M. Jean-Marie CAMUT,BC-DVD,1711,
10,11,Saint-Lyé,11904,7921,3983,126,62,3795,Mme Béatrice DONDON,BC-RN,1149,
10,11,Saint-Lyé,11904,7921,3983,126,62,3795,M. Jean-Paul BRAUN,BC-ECO,544,
10,11,Saint-Lyé,11904,7921,3983,126,62,3795,Mme Isabelle AVRIL,BC-DVD,391,
971,121,Vieux-Habitants,16298,10035,6263,189,352,5722,M. Jules OTTO,BC-SOC,3304,
971,121,Vieux-Habitants,16298,10035,6263,189,352,5722,M. Thierry ABELLI,BC-DVD,2418,
971,120,Trois-Rivières,17483,11714,5769,201,331,5237,M. Jimmy FAUSTA,BC-DIV,2724,
971,120,Trois-Rivières,17483,11714,5769,201,331,5237,M. Jacques ANSELME,BC-DVG,2513,
971,119,Sainte-Rose-2,12273,9028,3245,378,121,2746,Mme Isabelle AMIREILLE-JOMIE,BC-UG,2746,
971,118,Sainte-Rose-1,15322,10439,4883,209,249,4425,Mme Nicole DE LA REBERDIERE-RAMILLON,BC-DVC,2390,
971,118,Sainte-Rose-1,15322,10439,4883,209,249,4425,M. Alphonse GUILLAUME,BC-UG,1116,
971,118,Sainte-Rose-1,15322,10439,4883,209,249,4425,M. Jules KAMOISE,BC-DIV,477,
971,118,Sainte-Rose-1,15322,10439,4883,209,249,4425,"Mme Marie-Laure, Pauline AIGLE",BC-DVG,442,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,M. Christian BAPTISTE,BC-DVG,2117,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,M. Patrick Marcellin GALAS,BC-DVC,692,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,M. Jean-Jacob BICEP,BC-UGE,264,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,Mme Jocelyne BOUCAUD,BC-DIV,261,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,"M. Alain, Hélène, Fritz CUIRASSIER",BC-DIV,198,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,Mme Marjorie GUYON,BC-DIV,176,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,M. Léon-Alain CHERAL,BC-UD,176,
971,117,Sainte-Anne,15955,11401,4554,203,334,4017,"Mme Davina, Leslie BOATENG",BC-UG,133,
971,116,Saint-François,15729,11297,4432,226,265,3941,M. Jean-Luc PERIAN,BC-DVG,1707,
971,116,Saint-François,15729,11297,4432,226,265,3941,M. Teddy MARY,BC-DVG,1687,
971,116,Saint-François,15729,11297,4432,226,265,3941,Mme Christiane DELANNAY-CLARA,BC-DIV,371,
971,116,Saint-François,15729,11297,4432,226,265,3941,Mme Marie-France BAHADOUR,BC-RN,176,
971,115,Pointe-à-Pitre,11506,7938,3568,146,146,3276,M. Henry ANGELIQUE,BC-UGE,1179,
971,115,Pointe-à-Pitre,11506,7938,3568,146,146,3276,Mme Sandra ENJARIC,BC-UG,845,
971,115,Pointe-à-Pitre,11506,7938,3568,146,146,3276,Mme Cécile BOUCAUD,BC-DIV,739,
971,115,Pointe-à-Pitre,11506,7938,3568,146,146,3276,M. Loïc MARTOL,BC-DVG,513,
971,114,Petit-Canal,16685,11011,5674,145,307,5222,M. Blaise MORNAL,BC-DVG,3479,
971,114,Petit-Canal,16685,11011,5674,145,307,5222,M. Victor ARTHEIN,BC-UG,1743,
CEA,15,Sainte-Marie-aux-Mines,33991,23399,10592,272,141,10179,M. Pierre BIHL,BC-DVD,4640,
CEA,15,Sainte-Marie-aux-Mines,33991,23399,10592,272,141,10179,Mme Nadège FLORENTZ,BC-ECO,2655,
CEA,15,Sainte-Marie-aux-Mines,33991,23399,10592,272,141,10179,M. Loic DIAZ,BC-RN,1849,
CEA,15,Sainte-Marie-aux-Mines,33991,23399,10592,272,141,10179,M. Jérôme GOEPFERT,BC-REG,1035,
CEA,17,Wittenheim,33312,25149,8163,197,122,7844,Mme Marie-France VALLAT,BC-DVG,2659,
CEA,17,Wittenheim,33312,25149,8163,197,122,7844,M. Ludovic CATHALA,BC-RN,2384,
CEA,17,Wittenheim,33312,25149,8163,197,122,7844,Mme Nicole CARQUIN-JOSTE,BC-SOC,1924,
CEA,17,Wittenheim,33312,25149,8163,197,122,7844,M. Laurent ROTH,BC-REG,877,
CEA,16,Wintzenheim,39140,26033,13107,456,245,12406,Mme Monique MARTIN,BC-UD,4816,
CEA,16,Wintzenheim,39140,26033,13107,456,245,12406,Mme Rachel GROSSETÊTE,BC-DVC,3614,
CEA,16,Wintzenheim,39140,26033,13107,456,245,12406,Mme Cassandra DHENIN,BC-RN,2214,
CEA,16,Wintzenheim,39140,26033,13107,456,245,12406,Mme Chantal FRICK,BC-REG,1762,
CEA,14,Saint-Louis,32586,24303,8283,195,130,7958,Mme Pascale SCHMIDIGER,BC-LR,3468,
CEA,14,Saint-Louis,32586,24303,8283,195,130,7958,Mme Marie-Christine HUBER-BRAUN,BC-REG,1297,
CEA,14,Saint-Louis,32586,24303,8283,195,130,7958,Mme Katia DILEONARDO,BC-RN,1201,
CEA,14,Saint-Louis,32586,24303,8283,195,130,7958,Mme Marie-Laure GUIDOU,BC-ECO,1108,
CEA,14,Saint-Louis,32586,24303,8283,195,130,7958,M. Patrick STRIBY,BC-DVC,884,
CEA,13,Rixheim,37282,27274,10008,362,121,9525,Mme Patricia BOHN,BC-DVD,4973,
CEA,13,Rixheim,37282,27274,10008,362,121,9525,Mme Katy MOULIN,BC-RN,2348,
CEA,13,Rixheim,37282,27274,10008,362,121,9525,Mme Sybille GAERTNER,BC-ECO,2204,
CEA,12,Mulhouse-3,23506,17321,6185,257,28,5900,Mme Lara MILLION,BC-DVD,1841,
CEA,12,Mulhouse-3,23506,17321,6185,257,28,5900,M. Jordan GEIN,BC-UGE,1472,
CEA,12,Mulhouse-3,23506,17321,6185,257,28,5900,Mme Anne-Catherine GOETZ,BC-DVD,1205,
CEA,12,Mulhouse-3,23506,17321,6185,257,28,5900,M. Fabrice CIARLETTA,BC-RN,1079,
CEA,12,Mulhouse-3,23506,17321,6185,257,28,5900,M. Régis BASCHUNG,BC-REG,303,
89,21,Vincelles,11492,7162,4330,148,56,4126,Mme Najiba HADJALLI,BC-DVG,1192,
89,21,Vincelles,11492,7162,4330,148,56,4126,Mme Odile BERTHIER,BC-DVD,1075,
89,21,Vincelles,11492,7162,4330,148,56,4126,M. Léandre CROENNE,BC-RN,1017,
89,21,Vincelles,11492,7162,4330,148,56,4126,Mme Isabelle MICHAUD,BC-DVG,842,
89,20,Villeneuve-sur-Yonne,9655,6568,3087,95,54,2938,Mme Elisabeth FRASSETTO,BC-DVD,1119,
89,20,Villeneuve-sur-Yonne,9655,6568,3087,95,54,2938,Mme Audrey LOPEZ,BC-RN,1064,
89,20,Villeneuve-sur-Yonne,9655,6568,3087,95,54,2938,Mme Hélène FERCOCQ,BC-DVG,755,
89,18,Thorigny-sur-Oreuse,10438,6619,3819,111,54,3654,M. Ludovic MASSARD,BC-RN,1185,
89,18,Thorigny-sur-Oreuse,10438,6619,3819,111,54,3654,Mme Catherine BARDEAU,BC-UD,1008,
89,18,Thorigny-sur-Oreuse,10438,6619,3819,111,54,3654,M. Steve CAMPAGNE,BC-UC,868,
89,18,Thorigny-sur-Oreuse,10438,6619,3819,111,54,3654,M. Alain JOB,BC-DVG,593,
89,19,Tonnerrois,11857,7001,4856,149,52,4655,M. Cédric CLECH,BC-DVC,2346,
89,19,Tonnerrois,11857,7001,4856,149,52,4655,Mme Anne JERUSALEM,BC-DVD,1345,
89,19,Tonnerrois,11857,7001,4856,149,52,4655,Mme Sandrine CAMUS NEYENS,BC-RN,964,
89,15,Saint-Florentin,12887,9062,3825,133,60,3632,M. Gérard ANDRÉ,BC-DVD,1470,
89,15,Saint-Florentin,12887,9062,3825,133,60,3632,Mme Catherine CHEUILLOT-GAUDEAU,BC-RN,1101,
89,15,Saint-Florentin,12887,9062,3825,133,60,3632,M. Thierry CORNIOT,BC-DVG,1061,
89,13,Migennes,10660,7187,3473,80,42,3351,M. François BOUCHER,BC-UD,1566,
89,13,Migennes,10660,7187,3473,80,42,3351,Mme Anna MEYROUNE,BC-UG,989,
89,13,Migennes,10660,7187,3473,80,42,3351,Mme Karine CHICANNE,BC-RN,796,
89,17,Sens-2,12270,8792,3478,85,54,3339,M. Jean-Luc GIVORD,BC-UD,1433,
89,17,Sens-2,12270,8792,3478,85,54,3339,Mme Raymonde LEVACHER,BC-RN,909,
89,17,Sens-2,12270,8792,3478,85,54,3339,Mme Gaëlann BUREAUX,BC-UGE,583,
89,17,Sens-2,12270,8792,3478,85,54,3339,Mme Dominique CHAPPUIT,BC-UC,414,
89,16,Sens-1,13290,9369,3921,94,75,3752,Mme Ghislaine PIEUX,BC-UD,1824,
89,16,Sens-1,13290,9369,3921,94,75,3752,M. Nicolas LERMITHE,BC-UG,976,
89,16,Sens-1,13290,9369,3921,94,75,3752,Mme Angélique BURGOS,BC-RN,952,
89,14,Pont-sur-Yonne,9537,6483,3054,64,48,2942,M. Grégory DORTE,BC-DVD,1312,
89,14,Pont-sur-Yonne,9537,6483,3054,64,48,2942,Mme Laurence LEBLANC,BC-RN,909,
89,14,Pont-sur-Yonne,9537,6483,3054,64,48,2942,Mme Laurie COUTOULY,BC-UG,721,
89,12,Joux-la-Ville,9787,5853,3934,132,65,3737,Mme Colette LERMAN,BC-UCD,1897,
89,12,Joux-la-Ville,9787,5853,3934,132,65,3737,Mme Monique BEL,BC-UGE,1057,
89,12,Joux-la-Ville,9787,5853,3934,132,65,3737,M. Philippe RADET,BC-RN,783,
89,11,Joigny,12184,7950,4234,108,72,4054,M. Philippe BURIER,BC-UG,1597,
89,11,Joigny,12184,7950,4234,108,72,4054,M. Cyril ANDRÉ,BC-RN,1086,
89,11,Joigny,12184,7950,4234,108,72,4054,Mme Natacha CAUCHOIS,BC-UCD,915,
89,11,Joigny,12184,7950,4234,108,72,4054,M. Clément POINTEAU-LANGEVIN,BC-DVD,301,
89,11,Joigny,12184,7950,4234,108,72,4054,Mme Annie KERMIN,BC-EXG,155,
89,10,Gâtinais en Bourgogne,11569,7255,4314,71,63,4180,M. Christian DESCHAMPS,BC-DVD,1567,
89,10,Gâtinais en Bourgogne,11569,7255,4314,71,63,4180,M. Jean-Luc HENRY,BC-RN,1173,
89,10,Gâtinais en Bourgogne,11569,7255,4314,71,63,4180,Mme Christine AITA,BC-DVD,905,
89,10,Gâtinais en Bourgogne,11569,7255,4314,71,63,4180,Mme Aurélie DUFOUR,BC-FI,535,
89,07,Chablis,12451,7536,4915,212,93,4610,Mme Sylvie CHARPIGNON,BC-LR,2445,
89,07,Chablis,12451,7536,4915,212,93,4610,Mme Anissa BERRAHO,BC-RN,1125,
89,07,Chablis,12451,7536,4915,212,93,4610,Mme Danièle BROUIN,BC-UG,1040,
89,06,Brienon-sur-Armançon,12182,7988,4194,160,78,3956,M. Jérôme DELAVAULT,BC-UC,1808,
89,06,Brienon-sur-Armançon,12182,7988,4194,160,78,3956,M. Jean-François OLIVER,BC-RN,1402,
89,06,Brienon-sur-Armançon,12182,7988,4194,160,78,3956,Mme Agnès CLUZEL,BC-UG,746,
89,09,Cœur de Puisaye,11685,7325,4360,124,65,4171,Mme Annick BETHUEL,BC-RN,1048,
89,09,Cœur de Puisaye,11685,7325,4360,124,65,4171,M. Gilles ABRY,BC-UD,925,
89,09,Cœur de Puisaye,11685,7325,4360,124,65,4171,Mme Isabelle BARASSIN,BC-DVD,760,
89,09,Cœur de Puisaye,11685,7325,4360,124,65,4171,M. Victor COSTA,BC-UGE,736,
89,09,Cœur de Puisaye,11685,7325,4360,124,65,4171,M. Philippe BLOT,BC-DVC,702,
89,05,Avallon,10850,6838,4012,119,47,3846,Mme Aurélie FARCY,BC-DVC,1192,
89,05,Avallon,10850,6838,4012,119,47,3846,M. Jordan HEITZMANN,BC-DVD,812,
89,05,Avallon,10850,6838,4012,119,47,3846,M. Xavier COURTOIS,BC-DVD,630,
89,05,Avallon,10850,6838,4012,119,47,3846,M. Sylvain MONNIER,BC-RN,469,
89,05,Avallon,10850,6838,4012,119,47,3846,M. Patrice BEAUPIN,BC-UGE,468,
89,05,Avallon,10850,6838,4012,119,47,3846,Mme Fanny BOUVIER,BC-DSV,275,
89,08,Charny Orée de Puisaye,12688,7731,4957,104,40,4813,Mme Irène EULRIET,BC-DVD,1414,
89,08,Charny Orée de Puisaye,12688,7731,4957,104,40,4813,M. Mahfoud AOMAR,BC-DVD,1365,
89,08,Charny Orée de Puisaye,12688,7731,4957,104,40,4813,Mme Patricia GRASSET,BC-RN,1173,
89,08,Charny Orée de Puisaye,12688,7731,4957,104,40,4813,Mme Sylvie BORNET,BC-UG,861,
89,04,Auxerre-4,9380,6222,3158,89,59,3010,Mme Delphine BILLON,BC-DVD,967,
89,04,Auxerre-4,9380,6222,3158,89,59,3010,M. Mathieu DEBAIN,BC-DVC,729,
89,04,Auxerre-4,9380,6222,3158,89,59,3010,Mme Christiane ANTENNI,BC-ECO,697,
89,04,Auxerre-4,9380,6222,3158,89,59,3010,M. Pascal BLAISE,BC-RN,617,
89,03,Auxerre-3,9540,6323,3217,55,46,3116,M. Christophe BONNEFOND,BC-LR,1515,
89,03,Auxerre-3,9540,6323,3217,55,46,3116,Mme Laurence BONDOUX,BC-UG,601,
89,03,Auxerre-3,9540,6323,3217,55,46,3116,Mme Michèle FASQUEL,BC-RN,565,
89,03,Auxerre-3,9540,6323,3217,55,46,3116,Mme Eglantine BORGNAT,BC-DVG,435,
89,02,Auxerre-2,11463,7070,4393,112,63,4218,Mme Arminda GUIBLAIN,BC-DVD,1481,
89,02,Auxerre-2,11463,7070,4393,112,63,4218,Mme Malika OUNES,BC-DVC,1283,
89,02,Auxerre-2,11463,7070,4393,112,63,4218,M. Alexandre BROCHIER,BC-RN,843,
89,02,Auxerre-2,11463,7070,4393,112,63,4218,M. Vulfran BENARD,BC-FI,611,
85,16,Saint-Jean-de-Monts,36746,24682,12064,281,208,11575,M. Noël FAUCHER,BC-DVD,3288,
85,16,Saint-Jean-de-Monts,36746,24682,12064,281,208,11575,Mme Martine AURY,BC-DVD,2869,
85,16,Saint-Jean-de-Monts,36746,24682,12064,281,208,11575,Mme Corinne FILLET,BC-RN,2292,
85,16,Saint-Jean-de-Monts,36746,24682,12064,281,208,11575,Mme Virginie BERTRAND,BC-UCG,1774,
85,16,Saint-Jean-de-Monts,36746,24682,12064,281,208,11575,Mme Françoise BESSON,BC-UGE,1352,
89,01,Auxerre-1,9881,6608,3273,97,48,3128,M. Michel DUCROUX,BC-UD,1000,
89,01,Auxerre-1,9881,6608,3273,97,48,3128,M. Christian FASQUEL,BC-RN,655,
89,01,Auxerre-1,9881,6608,3273,97,48,3128,Mme Karine BOILEAU-GUINOT,BC-ECO,616,
89,01,Auxerre-1,9881,6608,3273,97,48,3128,Mme Sophie FEVRE,BC-DVG,504,
89,01,Auxerre-1,9881,6608,3273,97,48,3128,M. Jean-Philippe BAILLY,BC-DVC,353,
85,17,Talmont-Saint-Hilaire,39930,26705,13225,450,285,12490,M. Maxence DE RUGY,BC-DVD,6804,
85,17,Talmont-Saint-Hilaire,39930,26705,13225,450,285,12490,Mme Brigitte NEVEUX,BC-RN,3339,
85,17,Talmont-Saint-Hilaire,39930,26705,13225,450,285,12490,Mme Isabelle RONDEAU,BC-COM,2347,
85,15,Saint-Hilaire-de-Riez,42370,28167,14203,269,181,13753,Mme Isabelle DURANTEAU,BC-DVD,4529,
85,15,Saint-Hilaire-de-Riez,42370,28167,14203,269,181,13753,M. Laurent BOUDELIER,BC-DVD,4121,
85,15,Saint-Hilaire-de-Riez,42370,28167,14203,269,181,13753,Mme Marie-Christine EBRAN,BC-RN,2465,
85,15,Saint-Hilaire-de-Riez,42370,28167,14203,269,181,13753,Mme Elisabeth CLEMENT,BC-UG,2038,
85,15,Saint-Hilaire-de-Riez,42370,28167,14203,269,181,13753,M. Didier CHABAILLE,BC-DSV,600,
85,14,Les Sables-d'Olonne,40142,27033,13109,408,282,12419,M. Nicolas CHENECHAUD,BC-UD,6748,
85,14,Les Sables-d'Olonne,40142,27033,13109,408,282,12419,M. Fabrice DUVAL,BC-UGE,2929,
85,14,Les Sables-d'Olonne,40142,27033,13109,408,282,12419,M. Dany MARMIN,BC-RN,2742,
85,13,La Roche-sur-Yon-2,31259,21159,10100,204,166,9730,M. Luc BOUARD,BC-UCD,4394,
85,13,La Roche-sur-Yon-2,31259,21159,10100,204,166,9730,Mme Sylviane BULTEAU,BC-UG,4218,
85,13,La Roche-sur-Yon-2,31259,21159,10100,204,166,9730,M. Robert BESSEAU,BC-RN,1118,
85,12,La Roche-sur-Yon-1,30264,20626,9638,243,175,9220,Mme Anne AUBIN-SICARD,BC-UCD,4686,
85,12,La Roche-sur-Yon-1,30264,20626,9638,243,175,9220,Mme Pascale BATONNEAU,BC-UGE,3378,
85,12,La Roche-sur-Yon-1,30264,20626,9638,243,175,9220,Mme Lilas N'DONG,BC-RN,1156,
85,11,Mortagne-sur-Sèvre,30459,21270,9189,287,172,8730,Mme Cécile BARREAU,BC-DVD,6143,
85,11,Mortagne-sur-Sèvre,30459,21270,9189,287,172,8730,M. Michel LAÏDI,BC-COM,1475,
85,11,Mortagne-sur-Sèvre,30459,21270,9189,287,172,8730,Mme Marie BOURDIN,BC-RN,1112,
85,10,Montaigu-Vendée,35074,25013,10061,271,150,9640,Mme Isabelle RIVIERE,BC-DVD,6839,
85,10,Montaigu-Vendée,35074,25013,10061,271,150,9640,M. Patrick RABILLER,BC-UGE,1656,
85,10,Montaigu-Vendée,35074,25013,10061,271,150,9640,M. Gabriel DE CHABOT,BC-RN,1145,
85,09,Mareuil-sur-Lay-Dissais,27362,18340,9022,269,173,8580,M. Eric ADRIAN,BC-DVD,4652,
85,09,Mareuil-sur-Lay-Dissais,27362,18340,9022,269,173,8580,Mme Isabelle MAGNIN,BC-RN,2091,
